"created_at","bpp_details.bpp_id","location_details.address.name"
"Jul 10, 2025 @ 12:36:50.164","webapi.magicpin.in/oms_partner/ondc","Haveli Hyderabadi Dum Biryani"
"Jul 10, 2025 @ 12:36:49.953","webapi.magicpin.in/oms_partner/ondc","House Of Vadapav"
"Jul 10, 2025 @ 12:36:49.867","webapi.magicpin.in/oms_partner/ondc",Herbi
"Jul 10, 2025 @ 12:36:49.852","webapi.magicpin.in/oms_partner/ondc","K G Biriyani"
"Jul 10, 2025 @ 12:36:48.269","webapi.magicpin.in/oms_partner/ondc","Om Sandwich"
"Jul 10, 2025 @ 12:36:47.569","webapi.magicpin.in/oms_partner/ondc",Cheerss
"Jul 10, 2025 @ 12:36:47.565","webapi.magicpin.in/oms_partner/ondc","U2 Cake"
"Jul 10, 2025 @ 12:36:45.104","biz.enstore.com","-"
"Jul 10, 2025 @ 12:36:43.596","biz.enstore.com","-"
"Jul 10, 2025 @ 12:36:42.547","webapi.magicpin.in/oms_partner/ondc","Kolkata New Style Famous Kati Roll"
"Jul 10, 2025 @ 12:36:42.545","webapi.magicpin.in/oms_partner/ondc","Nammura Donne Biriyani"
"Jul 10, 2025 @ 12:36:42.220","biz.enstore.com","-"
"Jul 10, 2025 @ 12:36:41.202","biz.enstore.com","-"
"Jul 10, 2025 @ 12:36:39.595","webapi.magicpin.in/oms_partner/ondc","Snacks Mandi"
"Jul 10, 2025 @ 12:36:38.481","biz.enstore.com","-"
"Jul 10, 2025 @ 12:36:37.431","biz.enstore.com","-"
"Jul 10, 2025 @ 12:36:34.312","webapi.magicpin.in/oms_partner/ondc","Urban Pizzeria"
"Jul 10, 2025 @ 12:36:33.928","biz.enstore.com","-"
